playerID,yearID,league,teamID,G,AB,R,H,2B,3B,HR,RBI,SB,CS
aardsda01,2012,AL,NYA,1,,,,,,,,,
aardsda01,2010,AL,SEA,53,0,0,0,0,0,0,0,0,0
abadfe01,2012,NL,HOU,37,7,0,1,0,0,0,0,0,0
zimmery01,2012,NL,WAS,145,578,93,163,36,1,25,95,5,2
zimmery01,2011,NL,WAS,101,395,52,114,21,2,12,49,3,1
zimmery01,2010,NL,WAS,142,525,85,161,32,0,25,85,4,1
jepseke01,2012,AL,LAA,49,,,,,,,,,
jepseke01,2010,AL,LAA,68,0,0,0,0,0,0,0,0,0
jepseke01,2009,AL,LAA,54,0,0,0,0,0,0,0,0,0
jepseke01,2008,AL,LAA,9,,,,,,,,,
jeterde01,2012,AL,NYA,159,683,99,216,32,0,15,58,9,4
jeterde01,2011,AL,NYA,131,546,84,162,24,4,6,61,16,6
jeterde01,2010,AL,NYA,157,663,111,179,30,3,10,67,18,5
jeterde01,2009,AL,NYA,153,634,107,212,27,1,18,66,30,5
jeterde01,2008,AL,NYA,150,596,88,179,25,3,11,69,11,5
jeterde01,2007,AL,NYA,156,639,102,206,39,4,12,73,15,8
jimence01,2008,AL,SEA,31,,,,,,,,,
johnske05,2012,AL,TOR,142,507,61,114,19,2,16,55,14,2
johnske05,2011,NL,ARI,114,430,59,90,23,5,18,49,13,3
johnske05,2011,AL,TOR,33,115,16,31,4,2,3,9,3,3
johnske05,2010,NL,ARI,154,585,93,166,36,5,26,71,13,7
johnske05,2009,NL,ATL,106,303,47,68,20,3,8,29,7,2
johnske05,2008,NL,ATL,150,547,86,157,39,6,12,69,11,6
johnske05,2007,NL,ATL,147,521,91,144,26,10,16,68,9,5
johnsma02,2008,NL,SLN,10,17,1,5,0,0,0,2,0,0
johnsni01,2012,AL,BAL,38,87,9,18,4,0,4,11,2,0
johnsni01,2010,AL,NYA,24,72,12,12,4,0,2,8,0,1
johnsni01,2009,NL,WAS,98,353,47,104,16,2,6,44,2,2
johnsni01,2009,NL,FLO,35,104,24,29,8,0,2,18,0,2
johnsni01,2008,NL,WAS,38,109,15,24,8,0,5,20,0,0
johnsra05,2009,NL,SFN,22,26,1,2,0,0,0,0,0,0
johnsra05,2008,NL,ARI,30,50,2,7,1,0,0,5,0,0
johnsra05,2007,NL,ARI,10,15,0,1,0,0,0,0,0,0
johnsre02,2012,NL,CHN,76,169,23,51,9,3,3,16,2,1
johnsre02,2012,NL,ATL,43,100,7,27,5,0,0,4,0,1
johnsre02,2011,NL,CHN,111,246,33,76,22,1,5,28,2,1
johnsre02,2010,NL,LAN,102,202,24,53,11,2,2,15,2,2
johnsre02,2009,NL,CHN,65,165,23,42,10,2,4,22,2,1
johnsre02,2008,NL,CHN,109,333,52,101,21,0,6,50,5,6
johnsre02,2007,AL,TOR,79,275,31,65,13,2,2,14,4,2
johnsro07,2012,NL,NYN,17,52,3,13,2,0,0,4,0,0
johnsro07,2011,NL,SDN,67,179,9,34,6,1,3,16,3,0
johnsro07,2010,AL,SEA,61,178,24,34,10,0,2,13,1,1
johnsro07,2009,AL,SEA,80,258,21,55,19,2,2,27,1,1
johnsro07,2008,AL,SEA,14,31,2,4,0,0,1,2,0,0
johnsro07,2007,AL,SEA,6,3,1,1,0,0,0,0,1,0
johnsst02,2012,AL,BAL,12,,,,,,,,,
johnsty01,2007,NL,SLN,55,0,0,0,0,0,0,0,0,0
jonesad01,2012,AL,BAL,162,648,103,186,39,3,32,82,16,7
jonesad01,2011,AL,BAL,151,567,68,159,26,2,25,83,12,4
jonesad01,2010,AL,BAL,149,581,76,165,25,5,19,69,7,7
jonesad01,2009,AL,BAL,119,473,83,131,22,3,19,70,10,4
jonesad01,2008,AL,BAL,132,477,61,129,21,7,9,57,10,3
jonesad01,2007,AL,SEA,41,65,16,16,2,1,2,4,2,1
jonesga02,2007,AL,MIN,31,77,7,16,2,1,2,5,1,1
jonesgr01,2007,AL,LAA,9,,,,,,,,,
joneshu01,2010,NL,FLO,3,0,0,0,0,0,0,0,0,0
jonesja04,2008,AL,DET,24,79,10,13,2,1,1,5,0,1
jonesja04,2008,NL,FLO,18,37,5,4,0,0,0,2,0,0
jonesja04,2007,NL,CHN,135,453,52,129,33,2,5,66,6,3
jonesmi03,2009,NL,LAN,8,13,1,4,1,0,0,0,0,0
jonesna01,2012,AL,CHA,65,0,0,0,0,0,0,0,0,0
jonesto02,2008,AL,DET,45,0,0,0,0,0,0,0,0,0
jonesto02,2007,AL,DET,63,0,0,0,0,0,0,0,0,0
jorgery01,2008,AL,MIN,2,1,0,0,0,0,0,0,0,0
jorgery01,2007,NL,CIN,4,15,3,3,0,0,2,6,0,0
joycema01,2012,AL,TBA,124,399,55,96,18,3,17,59,4,3
joycema01,2011,AL,TBA,141,462,69,128,32,2,19,75,13,1
joycema01,2010,AL,TBA,77,216,30,52,15,3,10,40,2,2
joycema01,2009,AL,TBA,11,32,3,6,1,0,3,7,1,0
joycema01,2008,AL,DET,92,242,40,61,16,3,12,33,0,2
judyjo01,2011,AL,CLE,1,0,0,0,0,0,0,0,0,0
juliojo01,2009,NL,MIL,15,1,0,0,0,0,0,0,0,0
juliojo01,2008,AL,CLE,15,0,0,0,0,0,0,0,0,0
juliojo01,2008,NL,ATL,12,0,0,0,0,0,0,0,0,0
juliojo01,2007,NL,FLO,10,0,0,0,0,0,0,0,0,0
juliojo01,2007,NL,COL,58,0,0,0,0,0,0,0,0,0
jurrjja01,2012,NL,ATL,11,13,1,1,0,0,0,0,0,0
jurrjja01,2011,NL,ATL,23,47,0,5,0,0,0,1,0,0
jurrjja01,2010,NL,ATL,20,39,2,5,1,0,0,2,0,0
jurrjja01,2009,NL,ATL,36,65,7,8,2,0,0,4,0,0
jurrjja01,2008,NL,ATL,37,58,7,6,0,1,0,0,0,0
jurrjja01,2007,AL,DET,7,,,,,,,,,
kaaihki01,2012,AL,OAK,39,128,13,30,9,0,4,14,1,0
kaaihki01,2011,AL,KCA,23,82,6,16,4,0,2,6,0,0
kaaihki01,2010,AL,KCA,52,180,22,39,6,1,8,25,0,1
kaaihki01,2008,AL,KCA,12,21,4,6,0,0,1,1,0,0
kalisry01,2012,AL,BOS,36,96,12,22,3,0,0,5,3,2
kalisry01,2010,AL,BOS,53,163,26,41,11,1,4,24,10,1
kaplega01,2010,AL,TBA,59,124,19,26,4,0,2,14,1,1
kaplega01,2009,AL,TBA,99,205,26,49,15,1,8,32,5,2
kaplega01,2008,NL,MIL,96,229,36,69,17,2,8,38,3,1
karstje01,2012,NL,PIT,19,28,3,3,0,0,0,2,0,0
karstje01,2011,NL,PIT,28,48,2,5,1,0,0,2,0,0
karstje01,2010,NL,PIT,26,33,0,2,0,0,0,0,0,0
karstje01,2009,NL,PIT,39,22,2,1,0,0,0,0,0,0
karstje01,2008,NL,PIT,9,14,3,2,0,0,0,0,0,0
karstje01,2007,AL,NYA,7,,,,,,,,,
katama01,2009,NL,HOU,40,50,2,10,1,0,0,5,1,0
katama01,2007,AL,TEX,31,70,12,13,2,0,2,6,1,0
katama01,2007,NL,PIT,47,88,9,22,7,1,1,10,0,0
kawakke01,2010,NL,ATL,18,24,2,3,1,0,0,1,0,0
kawakke01,2009,NL,ATL,34,41,0,4,0,0,0,0,0,0
kawasmu01,2012,AL,SEA,61,104,13,20,1,0,0,7,2,2
kazmase01,2008,NL,SDN,19,39,2,8,1,0,0,2,0,0
kazmisc01,2010,AL,LAA,28,6,0,0,0,0,0,0,0,0
kazmisc01,2008,AL,TBA,27,2,0,0,0,0,0,0,0,0
kazmisc01,2007,AL,TBA,34,2,0,1,0,0,0,1,0,0
kearnau01,2012,NL,MIA,87,147,21,36,6,0,4,16,2,1
kearnau01,2011,AL,CLE,57,150,18,30,5,1,2,7,0,4
kearnau01,2010,AL,CLE,84,301,42,82,18,1,8,42,4,1
kearnau01,2010,AL,NYA,36,102,13,24,3,0,2,7,0,0
kearnau01,2009,NL,WAS,80,174,20,34,6,2,3,17,1,1
kearnau01,2008,NL,WAS,86,313,40,68,10,0,7,32,2,2
kearnau01,2007,NL,WAS,161,587,84,156,35,1,16,74,2,2
keislra01,2007,NL,SLN,4,6,1,1,0,0,0,0,0,0
kellesh01,2012,AL,SEA,47,0,0,0,0,0,0,0,0,0
kellesh01,2010,AL,SEA,22,0,0,0,0,0,0,0,0,0
kellyca01,2012,NL,SDN,7,10,0,2,0,0,0,0,0,0
kellydo01,2012,AL,DET,75,113,14,21,2,1,1,7,2,0
kellydo01,2011,AL,DET,112,257,35,63,8,3,7,28,2,1
kellydo01,2010,AL,DET,119,238,30,58,4,0,9,27,3,0
kellydo01,2009,AL,DET,31,56,8,14,3,1,0,3,1,0
kellydo01,2007,NL,PIT,25,27,2,4,0,0,0,0,0,0
kellyjo05,2012,NL,SLN,29,33,3,5,2,0,0,2,0,0
kempma01,2012,NL,LAN,106,403,74,122,22,2,23,69,9,4
kempma01,2011,NL,LAN,161,602,115,195,33,4,39,126,40,11
kempma01,2010,NL,LAN,162,602,82,150,25,6,28,89,19,15
kempma01,2009,NL,LAN,159,606,97,180,25,7,26,101,34,8
kempma01,2008,NL,LAN,155,606,93,176,38,5,18,76,35,11
kempma01,2007,NL,LAN,98,292,47,100,12,5,10,42,10,5
kendaja01,2010,AL,KCA,118,434,39,111,18,0,0,37,12,7
kendaja01,2009,NL,MIL,134,452,48,109,19,2,2,43,7,2
kendaja01,2008,NL,MIL,151,516,46,127,30,2,2,49,8,3
kendaja01,2007,AL,OAK,80,292,24,66,10,0,2,22,3,1
kendaja01,2007,NL,CHN,57,174,21,47,10,1,1,19,0,3
kendrho01,2012,AL,LAA,147,550,57,158,32,3,8,67,14,6
kendrho01,2011,AL,LAA,140,537,86,153,30,6,18,63,14,6
kendrho01,2010,AL,LAA,158,616,67,172,41,4,10,75,14,4
kendrho01,2009,AL,LAA,105,374,61,109,21,3,10,61,11,4
kendrho01,2008,AL,LAA,92,340,43,104,26,2,3,37,11,4
kendrho01,2007,AL,LAA,88,338,55,109,24,2,5,39,5,4
kendrky01,2012,NL,PHI,37,36,2,5,2,0,0,0,0,0
kendrky01,2011,NL,PHI,34,24,1,5,0,0,0,0,0,0
kendrky01,2010,NL,PHI,33,51,2,5,2,0,0,0,0,0
kendrky01,2009,NL,PHI,9,8,0,2,0,0,0,0,0,0
kendrky01,2008,NL,PHI,32,50,3,5,1,0,0,2,0,0
kendrky01,2007,NL,PHI,20,39,6,6,0,0,0,2,0,0
kennead01,2012,NL,LAN,86,168,22,44,8,1,2,16,1,1
kennead01,2011,AL,SEA,114,380,36,89,23,1,7,38,8,2
kennead01,2010,NL,WAS,135,342,43,85,16,1,3,31,14,2
kennead01,2009,AL,OAK,129,529,65,153,29,1,11,63,20,6
kennead01,2008,NL,SLN,115,339,42,95,17,4,2,36,7,1
kennead01,2007,NL,SLN,87,279,27,61,9,1,3,18,6,2
kenneia01,2012,NL,ARI,33,51,4,4,0,1,0,6,0,0
kenneia01,2011,NL,ARI,32,61,3,8,3,0,0,4,0,0
kenneia01,2010,NL,ARI,33,54,7,11,1,0,0,2,0,0
kenneia01,2008,AL,NYA,10,,,,,,,,,
kenneia01,2007,AL,NYA,3,,,,,,,,,
kennejo04,2007,AL,OAK,27,3,1,1,1,0,0,2,0,0
kennejo04,2007,NL,ARI,3,0,0,0,0,0,0,0,0,0
kennejo04,2007,AL,TOR,9,,,,,,,,,
kensilo01,2009,NL,FLO,6,0,0,0,0,0,0,0,0,0
kensilo01,2009,NL,WAS,26,2,0,0,0,0,0,0,0,0
kensilo01,2008,NL,FLO,48,2,0,0,0,0,0,0,0,0
kensilo01,2007,NL,FLO,9,1,0,0,0,0,0,0,0,0
kentje01,2008,NL,LAN,121,440,42,123,23,1,12,59,0,1
kentje01,2007,NL,LAN,136,494,78,149,36,1,20,79,1,3